ticker,sector_name
SPY,S&P 500 (Benchmark)
XLF,Financials
XLK,Technology
XLE,Energy
XLV,Health Care
XLI,Industrials
XLC,Communication Services
XLY,Consumer Discretionary
XLP,Consumer Staples
XLB,Materials
XLRE,Real Estate
XLU,Utilities
