date,ticker,close,open,high,low,volume
2015-01-02,SPY,170.12501525878906,170.91175939051038,171.325829928709,169.08983891329257,121465900.0
2015-01-05,SPY,167.05259704589844,169.0815398898487,169.2471655561333,166.7461889314505,169632600.0
2015-01-06,SPY,165.47915649414062,167.35902764550087,167.88076056900059,164.6841354981615,209151400.0
2015-01-07,SPY,167.54122924804688,166.80418415106138,167.8807701425897,166.35699350286723,125346700.0
2015-01-08,SPY,170.51422119140625,168.94903525876288,170.72954593158084,168.93248153754053,147217800.0
2015-01-09,SPY,169.1477813720703,170.92827927931057,170.9448456357597,168.53495254772835,158567300.0
2015-01-12,SPY,167.82275390625,169.28029002598933,169.43763882404554,167.21821456736416,144396100.0
2015-01-13,SPY,167.35072326660156,169.04012523018008,170.16639741804175,166.05053592069322,214553300.0
2015-01-14,SPY,166.34036254882812,165.3383066150455,166.53912089108297,164.44392566596335,192991100.0
2015-01-15,SPY,164.81661987304688,166.9780683165703,167.29275329332586,164.70068064236253,176613900.0
2015-01-16,SPY,166.97808837890625,164.60960440770086,167.13543720440362,164.42741236095966,211879600.0
2015-01-20,SPY,167.33416748046875,167.61573238611436,167.88074357008344,165.76898150488393,130991100.0
2015-01-21,SPY,168.17881774902344,166.8703539042716,168.65914087961016,166.40659712616707,122942700.0
2015-01-22,SPY,170.67987060546875,168.9324925342067,170.8123635660142,167.55777539756028,174356000.0
2015-01-23,SPY,169.7440643310547,170.42313339031367,170.6798677187709,169.6115587363211,117516800.0
2015-01-26,SPY,170.14154052734375,169.5287243661273,170.2326365292039,168.81652270697356,92009700.0
2015-01-27,SPY,167.89730834960938,168.0877772385284,169.04013431955212,167.0691673621353,134044600.0
2015-01-28,SPY,165.74412536621094,169.08153230604532,169.18090517407325,165.55365649034815,168514300.0
2015-01-29,SPY,167.27615356445312,165.94284646008185,167.53287517347198,164.53499708500755,173585400.0
2015-01-30,SPY,165.17269897460938,166.10022536974702,167.4252432198437,164.90770045916094,197729700.0
2015-02-02,SPY,167.21826171875,165.66964179128243,167.30935775192052,163.85601062679834,163107000.0
2015-02-03,SPY,169.63633728027344,168.11256143107838,169.64462677455197,167.73990064484605,124212900.0
2015-02-04,SPY,168.99046325683594,168.8745240134986,170.08361552524215,168.534983145,134306700.0
2015-02-05,SPY,170.6964111328125,169.65295806926244,170.84548307699293,169.57842841538633,97953200.0
2015-02-06,SPY,170.22439575195312,171.06081366529,171.6239561515473,169.70266284557835,125672000.0
2015-02-09,SPY,169.46249389648438,169.57843312899038,170.29891174267553,169.0567002644991,87219000.0
2015-02-10,SPY,171.2678680419922,170.49770284322997,171.5245897749129,169.50392336086054,96164200.0
2015-02-11,SPY,171.36717224121094,171.10217375218946,171.79780900185008,170.45622492944372,91087800.0
2015-02-12,SPY,173.01519775390625,172.16221362577974,173.07317368320975,171.40032550339623,97545900.0
2015-02-13,SPY,173.7274169921875,173.1394439618939,173.77710343007948,172.88270963873737,93670400.0
2015-02-17,SPY,174.00067138671875,173.412685833708,174.17458652213574,173.1642536922928,76968200.0
2015-02-18,SPY,174.0172576904297,173.6280304423576,174.09178734139812,173.36301927923287,80652900.0
2015-02-19,SPY,173.89306640625,173.42103254539876,174.25745051578036,173.28025007334028,91462500.0
2015-02-20,SPY,174.93653869628906,173.47900220479303,175.0110683660321,172.85789635073897,140896400.0
2015-02-23,SPY,174.91163635253906,174.68803478245675,174.91163635253906,174.30708442736932,74411100.0
2015-02-24,SPY,175.4084930419922,174.83707389352216,175.60725137428508,174.53894271329543,72472300.0
