simulation_id,terminal_value,pnl_pct
0,1.0209070145517152,0.020907014551715175
1,1.0556829123080735,0.05568291230807354
2,0.9800872723820282,-0.019912727617971804
3,0.9237721822909004,-0.07622781770909959
4,1.0097765292154235,0.00977652921542349
5,0.9840741534837775,-0.01592584651622253
6,1.028727582125071,0.028727582125070983
7,0.98758804290372,-0.012411957096279957
8,1.0153339786168705,0.01533397861687047
9,1.0005010006526325,0.0005010006526324773
10,1.114060630994331,0.11406063099433106
11,1.0242329836335118,0.024232983633511784
12,1.0359377991736503,0.03593779917365025
13,0.9839350040700376,-0.016064995929962356
14,0.964986388013656,-0.035013611986344007
15,1.0579337514929996,0.05793375149299962
16,0.9841645836929367,-0.01583541630706331
17,1.0218189547859198,0.021818954785919775
18,0.9892908946213894,-0.010709105378610584
19,0.9362246266608378,-0.06377537333916217
20,0.9591822794719788,-0.04081772052802124
21,1.061345424603659,0.061345424603659104
22,0.9786748356636815,-0.02132516433631848
23,0.8896191356914154,-0.11038086430858463
24,0.9790422938023948,-0.020957706197605175
25,1.130292426119406,0.13029242611940606
26,1.029495989855446,0.029495989855446103
27,0.9386935877652406,-0.06130641223475941
28,1.0573524523213826,0.05735245232138264
29,0.8718150780221674,-0.1281849219778326
30,1.0648060975578024,0.06480609755780242
31,1.042318027408861,0.042318027408861036
32,0.9731847522727861,-0.026815247727213887
33,1.0725399424105828,0.07253994241058281
34,1.009442857682819,0.00944285768281894
35,1.0803180460346213,0.08031804603462134
36,1.0803442527778953,0.08034425277789525
37,1.0050414345480256,0.005041434548025636
38,0.9820831041769439,-0.01791689582305611
39,0.9909401852192282,-0.00905981478077178
40,0.9354574963083246,-0.06454250369167536
41,1.0230848586880443,0.02308485868804433
42,1.0806298016620228,0.08062980166202283
43,0.8954144037337809,-0.1045855962662191
44,1.048688880329087,0.048688880329087025
45,1.0529397519130372,0.052939751913037236
46,0.9884014877181951,-0.011598512281804862
47,1.048581064902145,0.04858106490214498
48,1.0547506940240607,0.05475069402406074
49,0.9787597437983621,-0.02124025620163794
50,0.9328899160367065,-0.06711008396329354
51,0.9801481172445028,-0.019851882755497208
52,0.8752988932509617,-0.12470110674903834
53,1.0247437219076205,0.02474372190762053
54,1.0028154494319708,0.0028154494319707624
55,1.00619620924426,0.006196209244260009
56,0.9363870591515551,-0.06361294084844493
57,0.925646501418971,-0.07435349858102902
58,1.0036571842314777,0.0036571842314776504
59,0.9627775134409735,-0.03722248655902649
60,1.0008600164071628,0.0008600164071628225
61,0.9641107533645374,-0.03588924663546256
62,1.0012047613024115,0.001204761302411539
